Asset_1,Asset_2,Correlation,Abs_Correlation
Gold,US_10Y_Bond,-0.2720336619050203,0.2720336619050203
Platinum,FTSE100,0.2713478803599876,0.2713478803599876
Copper,DAX,0.2678603333686603,0.2678603333686603
Dow_Jones,BIST100,0.2668700246795982,0.2668700246795982
DAX,US_10Y_Bond,0.266563489060482,0.266563489060482
DAX,THYAO,0.26538918442282,0.26538918442282
FTSE100,GARAN,0.2638342475861103,0.2638342475861103
DAX,AKBNK,0.26264381714986296,0.26264381714986296
Dow_Jones,BIST30,0.26198817572391603,0.26198817572391603
FTSE100,THYAO,0.2617761047570639,0.2617761047570639
ASELS,BIMAS,0.2606071281824756,0.2606071281824756
FTSE100,ISCTR,0.26027474816786655,0.26027474816786655
Brent_Oil,SP500,0.258635458352736,0.258635458352736
Platinum,Dow_Jones,0.2547332643525553,0.2547332643525553
Dow_Jones,BIST_Industrials,0.25341523381848435,0.25341523381848435
SP500,BIST100,0.2524877992045406,0.2524877992045406
DAX,ISCTR,0.25137284427925377,0.25137284427925377
Platinum,SP500,0.2487484395612511,0.2487484395612511
SP500,BIST30,0.24874144702049297,0.24874144702049297
Copper,Dow_Jones,0.24693081839929626,0.24693081839929626
BIST_Industrials,MOEX_Russia,0.24637238632617753,0.24637238632617753
DAX,GARAN,0.24625670633379335,0.24625670633379335
Platinum,DAX,0.24600378391693328,0.24600378391693328
Copper,SP500,0.2441027939282,0.2441027939282
NASDAQ,MOEX_Russia,0.24305554409563618,0.24305554409563618
Copper,CSI300,0.24143650213988307,0.24143650213988307
SP500,BIST_Industrials,0.2358378172419645,0.2358378172419645
FTSE100,TUPRS,0.2345230373988322,0.2345230373988322
NASDAQ,Bitcoin,0.23380002773193706,0.23380002773193706
BIST100,MOEX_Russia,0.23287656784678332,0.23287656784678332
Gold,Copper,0.23025455608622172,0.23025455608622172
Dow_Jones,SAHOL,0.228801919311163,0.228801919311163
BIST30,MOEX_Russia,0.22550118931355057,0.22550118931355057
Platinum,NASDAQ,0.2230894157101436,0.2230894157101436
Dow_Jones,Nikkei225,0.22232477069362308,0.22232477069362308
Brent_Oil,MOEX_Russia,0.22109425327142215,0.22109425327142215
Dow_Jones,KCHOL,0.22097391557674406,0.22097391557674406
Dow_Jones,BIST_Banks,0.2205729822377404,0.2205729822377404
Copper,NASDAQ,0.2196040926384975,0.2196040926384975
VIX,MOEX_Russia,-0.21916746788892558,0.21916746788892558
SP500,Nikkei225,0.21513521388544088,0.21513521388544088
SP500,SAHOL,0.2148380487693718,0.2148380487693718
SP500,Bitcoin,0.2145828468567697,0.2145828468567697
Platinum,Brent_Oil,0.21269361135296944,0.21269361135296944
Dow_Jones,THYAO,0.21196992119437028,0.21196992119437028
SP500,BIST_Banks,0.21113633262457668,0.21113633262457668
Brent_Oil,DAX,0.21055945822391323,0.21055945822391323
BIST100,VIX,-0.2104567784292295,0.2104567784292295
NASDAQ,BIST100,0.20958588316558574,0.20958588316558574
KCHOL,MOEX_Russia,0.20944393021711222,0.20944393021711222
NASDAQ,US_10Y_Bond,0.20939363652664006,0.20939363652664006
US_10Y_Bond,Dollar_Index,0.20907832596492198,0.20907832596492198
DAX,TUPRS,0.20901810616267424,0.20901810616267424
BIST_Industrials,VIX,-0.20699150116383144,0.20699150116383144
NASDAQ,BIST30,0.20630498188541185,0.20630498188541185
SP500,KCHOL,0.20498292302399904,0.20498292302399904
Copper,MOEX_Russia,0.20423089400440206,0.20423089400440206
Brent_Oil,VIX,-0.20268818464087085,0.20268818464087085
BIST30,VIX,-0.2010935307299307,0.2010935307299307
TUPRS,MOEX_Russia,0.20057622704469014,0.20057622704469014
Copper,VIX,-0.2001276755921303,0.2001276755921303
SAHOL,MOEX_Russia,0.19947138528973643,0.19947138528973643
SP500,THYAO,0.199334962326101,0.199334962326101
Brent_Oil,NASDAQ,0.19794143067870187,0.19794143067870187
Brent_Oil,US_10Y_Bond,0.1963640043867725,0.1963640043867725
NASDAQ,BIST_Industrials,0.19570938957806674,0.19570938957806674
Platinum,MOEX_Russia,0.19472786657912788,0.19472786657912788
VIX,US_10Y_Bond,-0.19434823234712162,0.19434823234712162
Dow_Jones,AKBNK,0.1939422298103988,0.1939422298103988
Dow_Jones,Bitcoin,0.19347720299680315,0.19347720299680315
Dow_Jones,GARAN,0.19033736142931582,0.19033736142931582
Dow_Jones,ISCTR,0.18661126881289142,0.18661126881289142
NASDAQ,Nikkei225,0.18600535317392514,0.18600535317392514
SP500,AKBNK,0.18470968730696363,0.18470968730696363
Nikkei225,MOEX_Russia,0.18406107336361585,0.18406107336361585
Nikkei225,CSI300,0.1833982740900319,0.1833982740900319
SP500,GARAN,0.18193776745157914,0.18193776745157914
NASDAQ,SAHOL,0.17861046829757543,0.17861046829757543
SP500,ISCTR,0.17749449840753095,0.17749449840753095
Nikkei225,VIX,-0.17685741025378993,0.17685741025378993
FTSE100,ASELS,0.1760535363839645,0.1760535363839645
Platinum,CSI300,0.1743727421975966,0.1743727421975966
Bitcoin,VIX,-0.17207896471128414,0.17207896471128414
Silver,Brent_Oil,0.17199951682256143,0.17199951682256143
NASDAQ,BIST_Banks,0.17101318541884647,0.17101318541884647
THYAO,MOEX_Russia,0.16827182221476988,0.16827182221476988
Platinum,VIX,-0.16697366870714897,0.16697366870714897
Nikkei225,BIST_Industrials,0.16486277191266613,0.16486277191266613
BIST_Banks,VIX,-0.1644932080682362,0.1644932080682362
BIST_Banks,MOEX_Russia,0.16411242773597964,0.16411242773597964
NASDAQ,KCHOL,0.16332802579981665,0.16332802579981665
NASDAQ,THYAO,0.16323126824154427,0.16323126824154427
KCHOL,VIX,-0.16260406276783534,0.16260406276783534
DAX,ASELS,0.16254992525258521,0.16254992525258521
Dow_Jones,TUPRS,0.16180766310592007,0.16180766310592007
SAHOL,VIX,-0.1580442126401076,0.1580442126401076
Copper,Nikkei225,0.15773333434517176,0.15773333434517176
WTI_Oil,Dow_Jones,0.1540782709754592,0.1540782709754592
Platinum,BIST30,0.15221977953225377,0.15221977953225377
THYAO,VIX,-0.15206105347278354,0.15206105347278354
Platinum,BIST100,0.15070739990417267,0.15070739990417267
SP500,TUPRS,0.14972646508138546,0.14972646508138546
NASDAQ,AKBNK,0.14874950526832967,0.14874950526832967
Platinum,BIST_Industrials,0.1476863673376367,0.1476863673376367
Platinum,SAHOL,0.14691963469995772,0.14691963469995772
Platinum,Nikkei225,0.1468589447158237,0.1468589447158237
ISCTR,MOEX_Russia,0.146751697992338,0.146751697992338
Nikkei225,BIST100,0.14665678281581981,0.14665678281581981
ISCTR,VIX,-0.14659515857433408,0.14659515857433408
GARAN,MOEX_Russia,0.14601408909816876,0.14601408909816876
Copper,BIST30,0.14565044500483273,0.14565044500483273
