Network,Nodes,Edges,Density,Average degree,Connected components,Largest component size,Largest component diameter,Average clustering
Full network including isolated nodes,37,94,0.14114114114114115,5.081081081081081,12,13,2,0.6666120666120665
Active network excluding isolated nodes,30,94,0.2160919540229885,6.266666666666667,5,13,2,0.8221548821548821
