Node,Community
Copper,0
Gold,0
Platinum,0
Silver,0
Brent_Oil,1
WTI_Oil,1
DAX,2
Dow_Jones,2
FTSE100,2
MOEX_Russia,2
NASDAQ,2
SP500,2
VIX,2
AKBNK,3
ASELS,3
BIMAS,3
BIST100,3
BIST30,3
BIST_Banks,3
BIST_Industrials,3
GARAN,3
ISCTR,3
KCHOL,3
SAHOL,3
THYAO,3
TUPRS,3
EUR_TRY,4
GBP_TRY,4
SAR_TRY,4
USD_TRY,4
