Date,Gold,Silver,Brent_Oil,WTI_Oil,Natural_Gas,SP500,NASDAQ,Dow_Jones,DAX,FTSE100,Nikkei225,BIST100,USD_TRY,EUR_TRY,Bitcoin,VIX,US_10Y_Bond,Dollar_Index
2020-01-07,0.003575595601353454,0.012101445609419947,-0.00928757778306255,-0.009009004120439812,0.01264634685224375,-0.0028032386528962228,-0.00031854247708495986,-0.00417028128015462,0.007605691934511771,-0.00018479827595518916,0.0159820545400311,0.010655886787160673,0.00017426086347893666,0.003116427292704671,0.050773846435889336,-0.004332160141813257,0.008834915802103271,0.0032068397006326244
2020-01-08,-0.009161486173001832,-0.012448167780032993,-0.04145297115592539,-0.04928229848466481,-0.009713186411463903,0.004902451368978156,0.006689046766684248,0.005646934125160374,0.007057594965961256,0.0001320323760405362,-0.015734871572805398,0.0024529129289629914,0.000899671670168356,-0.002826941310871578,-0.010268587535248286,-0.024655558631502927,0.02572519472970969,0.0032996461512426745
2020-01-09,-0.0036599930350791343,-0.012604972456378927,-0.0010696774482380489,-0.0008387726312464316,0.01167671955639249,0.006655262605488987,0.008126574744484083,0.007368581835240029,0.013128943221134781,0.003062772526581048,0.02306032815701453,0.045309919873564475,-0.010958514224654436,-0.015399501522996961,-0.024850855645838776,-0.0676579821796911,-0.008537840776206451,0.0015415610665974189
2020-01-10,0.0037378675070167677,0.009686468632766232,-0.005966029880101642,-0.00873069922387304,0.0166205056279336,-0.002855178689662563,-0.0026695847930331418,-0.0045975521405634545,-0.0008706890057639249,-0.0013424665615614506,0.0046630910734701825,0.0057054143137234,-0.005347865022049536,-0.005203736578824447,0.03648690303834745,0.0015949328408704222,-0.017761028880085683,-0.0009235129882911863
2020-01-15,0.0062888686581550335,0.014088522820303151,-0.007598044347971844,-0.0072127455306035815,-0.030635642236084948,0.0018701968845122874,0.0007966548728952638,0.0031289500362114975,-0.0017976774973391674,0.0026763096406785536,-0.004519836658933629,-0.003990270780653837,0.0036825925373420443,0.002827574762671814,-0.002350980919464507,0.0024212858869980813,-0.01650163480003808,-0.0014378082129957725
2020-01-16,-0.001997278290509108,-0.0026781417616651426,0.009687542915344238,0.012281596049237953,-0.020283011865598333,0.00836655302646827,0.010631048141058974,0.009211777086014727,-0.00021367280579143166,-0.004317789402224048,0.0006920212336352094,0.0005135631440924548,-0.0019959268254120532,0.00048112547528078586,-0.009449813541879348,-0.008051560455349271,0.011744981992263037,0.0009256025381407795
2020-01-17,0.006326693885167822,0.007720307036713336,0.003559203308007186,0.0003417713193305527,-0.035628254795433745,0.003862162248501333,0.003399605143178608,0.0017222883241985176,0.007200618161954164,0.008515374205880555,0.004517959095504009,0.0039165319272207455,-0.003446576561850989,-0.004563179847115517,0.02352785247141642,-0.017857087565263163,0.014925345594910544,0.0029798696715652717
2020-01-21,-0.001539661495306488,-0.014545108005082574,-0.004009285155715525,-0.0034164803520938536,-0.05391914075040072,-0.0026519776473655776,-0.0019310868474221587,-0.005181274048368878,0.002198724589565826,-0.008326154005505071,-0.007349831933626483,0.01713357524140635,0.009509623516831711,0.006389172390572906,-0.02051100610444656,0.06198346912026298,-0.036492327622455356,-0.0008196069107103687
2020-01-22,-0.000706743490544226,0.0011267229104050536,-0.021365495148796265,-0.02742541086623773,0.005277039875413392,0.0002890760711180551,0.0013830140117838674,-0.0003346183785096768,-0.0029596120972442685,-0.005098123953515832,0.006988985285205196,-0.0065476401010031715,0.0037761971712362286,0.0018210825126012686,-0.007434180055016837,0.004669219000872804,0.0,0.0
2020-01-23,0.005979506504111276,0.00011258841517802765,-0.018509700773476467,-0.0202679149076469,0.011023636730679298,0.0011409766124783616,0.0019939681423002398,-0.0008969864227412749,-0.009420866627823044,-0.008478678780655557,-0.009816766851827863,-0.001685563830499226,-0.002265279808991938,-0.0011834631980374155,-0.03160514587505292,0.005422129794854458,-0.01639346692680199,0.0016405584344509894
2020-01-24,0.004154416529097649,0.015979208795374067,-0.021760191310385535,-0.025184413060551858,-0.0171339524335129,-0.009042160974207403,-0.009313533039611022,-0.005842210223385602,0.014061387880238696,0.010429266306662965,0.0013338788904289078,-0.0032512023780587596,0.0016115927058091284,-0.002464064068134819,0.004629616722148233,0.12172580378289855,-0.03390805456058432,0.0016377933126865418
2020-01-27,0.0036280779904294125,-0.003156626740190349,-0.022573718287774658,-0.01937625509632357,0.004754328421276766,-0.015730711659182384,-0.018851559810233676,-0.01565829278714137,-0.027393307112667298,-0.02292379413969814,-0.020299083996447087,-0.016309735460512287,0.0026276226163570726,0.0007419697535213654,0.05498648550986496,0.25206037203646203,-0.04521116922258661,0.0011241759025746312
2020-01-28,-0.004819950165462217,-0.033222198486328125,0.0032029438247882513,0.0063981963961805555,0.016824429907568383,0.010053584595046017,0.014264766521421501,0.006554882743921686,0.009005904885811544,0.009255149924100703,-0.005474704935467423,-0.002897198720949179,-0.0003330363652128687,-0.0014691631771374114,0.05036808165148732,-0.10696647858234709,0.022429914594157996,0.0006124699791187904
2020-01-29,0.000382422683483874,0.0016664364958800526,0.005041220974951077,-0.002804744062557041,-0.02947261662785905,-0.0008668741908683941,0.0005912252564013176,0.0004038460505400021,0.0015993744694802192,0.00038765119147088356,0.007050805102013724,-0.0009356950386153473,-0.0003028976675274464,-1.682887835530167e-05,-0.004483577295090302,0.006756676803653994,-0.028641102752012815,-0.0003060475446262645
2020-01-30,0.008727195022131706,0.029889272889934704,-0.025413817469705835,-0.022313939631505852,-0.025572711094282163,0.003134358792605374,0.002562708443798023,0.004349839226897023,-0.014078672372611511,-0.013576366498801784,-0.017179670304378725,0.0013384107883884777,0.002635887755052968,0.0023162317481915107,0.02064730312029206,-0.054911510191921864,-0.02258470123003198,-0.0012245649536016812
2020-01-31,-0.00037889206563779254,0.0011141075165814751,-0.0022302464586272386,-0.011123859285517623,0.006560942995668784,-0.01770582037552626,-0.015914654996416755,-0.020908588929112404,-0.013312213392062677,-0.013004605797886759,0.009897822349882013,-0.0059207366850903,0.0029362742826000154,0.004301652998586203,-0.016664631518128026,0.216268588183969,-0.0243902364376285,-0.004904499269061002
2020-02-03,-0.003601031748229011,-0.01847322113102845,-0.0637895305056081,-0.02812258968810999,-0.011950003066029335,0.007254613892351713,0.01338222687366808,0.005088515746120903,0.004869885268307339,0.0055311288344084275,-0.010051214320078716,0.0008619960952489514,0.00014893802637638842,0.005653771266416863,-0.006096747113455092,-0.046178388120336256,0.0,0.004209915439766787
2020-02-04,-0.01699209205395924,-0.006349178888547691,-0.008999112426097633,-0.009978048172218812,0.029136873628585302,0.014980414164082134,0.02098144453400308,0.014359965952127629,0.01813310476090657,0.015492131502369055,0.004903825854794208,0.024264873440852375,0.0014326566387619089,-0.001230059038803688,-0.012111511652417528,-0.106844749563629,0.05460530588006107,0.0016359512037047441
2020-02-05,0.004772977488090024,0.002339135468762965,0.02446255962231958,0.0229792254711354,-0.005876088310140748,0.01125059589785371,0.0042997561370825554,0.01677398437791844,0.014801512473583633,0.00573942799987659,0.010178682173494158,0.0015113921608900238,-0.0009827454538658964,-0.002528069971154734,0.047104093835473426,-0.05607474525307854,0.028696196212386837,0.0031645320691195966
2020-02-06,0.004686048612788207,0.012522016637108502,-0.006331376299743674,0.003940901732797153,0.0005373706401410328,0.003325672876785646,0.006675027996624783,0.003035757687497753,0.007158916113176428,0.00298026123454731,0.023758136254812268,-0.00030168254633244906,0.0005319799393548319,-0.0025526813339592502,0.012105773319493585,-0.0125412267437226,-0.003032137710220262,0.0023405247256598205
2020-02-07,0.0022362788669072486,-0.0069705236411413685,-0.008374277843018918,-0.012365084566858142,-0.0021482000677609525,-0.005400853672730133,-0.005394882329740391,-0.009437098045649739,-0.004494405140031188,-0.005076698961536952,-0.0019104531534012148,-0.010375900279552375,0.0011369818803628196,-0.001723886448150802,0.006797836503646293,0.03409092430356764,-0.04014604732753657,0.001827414265743954
2020-02-10,0.003888802550604975,0.005264562684337504,-0.022030489003979525,-0.014904610583237776,-0.049515611219634215,0.007326397804890528,0.011331313707803048,0.005989536582198474,-0.0014636359031173773,-0.0026518130433548226,-0.005959380409356618,-0.02209299557452138,-0.0001269399655987602,-0.00263059553824585,0.006193172676109748,-0.02779575292524339,-0.01964505697305241,0.001520080314298733
2020-02-13,0.004912562876061788,0.006980188587206726,0.009858383725307895,0.004885675375140508,-0.009761392002491598,-0.0016304457368023773,-0.0014384425219915453,-0.004335134329879309,-0.00031641130628867753,-0.010936491746093457,-0.0014031336815929496,0.004096666191460985,0.004687525016910499,0.00027403809543313784,-0.010814856987217514,0.02983987294337065,-0.00797546716694586,0.00020188432559642422
